rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
51,0.0,DEN,Mads Christophersen,83938,31563,17.0,Europe,DENMARK,2024-11-26,MS,2024,11,2024-11,31563.0,51.0,31563.0,50.0,31873.0,47.0,33273.0,48.0,31563.0,0.0,31563.0,31086.333333333332,1052.9324131522606,31873.0,32222.166666666668,1468.6261875602574,33873.0,0.0,0.0,0.0,0,0,0.7983252721659128,0.3181272992962947,-0.5000000000000004,0.8660254037844384
26,3.0,IND,Prannoy H. S.,83950,47902,13.0,Asia,INDIA,2024-11-26,MS,2024,11,2024-11,51292.0,23.0,51892.0,22.0,51892.0,23.0,57292.0,17.0,51692.0,346.4101615139341,51892.0,51792.0,244.94897427829954,51892.0,54092.0,2829.712481379179,57292.0,-3390.0,-3990.0,-0.07689046481153161,0,0,1.2115887966065186,0.48281005895799217,-0.5000000000000004,0.8660254037844384
53,1.0,INA,Yohanes Saut Marcellyno,84764,31163,11.0,Asia,INDONESIA,2024-11-26,MS,2024,11,2024-11,31163.0,52.0,31163.0,51.0,29423.0,56.0,24843.0,70.0,31163.0,0.0,31163.0,29881.333333333332,1474.9158168067315,31163.0,28813.0,1875.5653693074796,31163.0,0.0,0.0,0.0,0,0,0.7882080428510071,0.31409565085607927,-0.5000000000000004,0.8660254037844384
29,0.0,MAS,Leong Jun Hao,84838,47528,20.0,Asia,MALAYSIA,2024-11-26,MS,2024,11,2024-11,47528.0,29.0,43578.0,30.0,45478.0,30.0,46918.0,29.0,44711.333333333336,2454.7572860332493,47528.0,44461.333333333336,1722.4014243685217,47528.0,45689.666666666664,1730.4483566843887,47528.0,0.0,3950.0,0.09064206709807698,0,0,1.202129187197082,0.4790404676663908,-0.5000000000000004,0.8660254037844384
42,0.0,IRL,Nhat Nguyen,85095,36643,14.0,Europe,IRELAND,2024-11-26,MS,2024,11,2024-11,36643.0,42.0,36643.0,42.0,36643.0,40.0,36693.0,43.0,36643.0,0.0,36643.0,36643.0,0.0,36643.0,36663.833333333336,25.74643252693064,36693.0,0.0,0.0,0.0,0,0,0.9268140844652136,0.3693292344870299,-0.5000000000000004,0.8660254037844384
15,3.0,JPN,Kenta Nishimoto,85394,59362,24.0,Asia,JAPAN,2024-11-26,MS,2024,11,2024-11,63912.0,12.0,63912.0,12.0,62262.0,14.0,64662.0,12.0,63912.0,0.0,63912.0,63637.0,673.6096792652818,63912.0,63299.5,1069.223380011567,64662.0,-4550.0,-4550.0,-0.07119163850294152,0,0,1.5014474164785638,0.5983167867701626,-0.5000000000000004,0.8660254037844384
55,1.0,FIN,Joakim Oldorff,85563,29840,21.0,Europe,FINLAND,2024-11-26,MS,2024,11,2024-11,29840.0,54.0,29150.0,56.0,28988.0,59.0,30460.0,56.0,29380.0,398.37168574083466,29840.0,29211.0,318.20182274777807,29840.0,29428.0,528.2974368839909,30460.0,0.0,690.0,0.023670668953687857,0,0,0.7547453068919568,0.30076097364006693,-0.5000000000000004,0.8660254037844384
57,0.0,THA,Panitchaphon Teeraratsakul,85845,28710,15.0,Asia,THAILAND,2024-11-26,MS,2024,11,2024-11,28710.0,57.0,27894.0,58.0,26974.0,65.0,22964.0,78.0,28438.0,471.1178196587371,28710.0,28012.666666666668,647.0890716637044,28710.0,26889.166666666668,1597.1432356402938,28710.0,0.0,816.0,0.029253602925360278,0,0,0.7261641340773486,0.2893715667964585,-0.5000000000000004,0.8660254037844384
13,0.0,TPE,Lin Chun-Yi,86114,61071,23.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,62801.0,13.0,62801.0,13.0,62801.0,12.0,60601.0,14.0,62801.0,0.0,62801.0,62801.0,0.0,62801.0,62617.666666666664,635.0852961081421,62801.0,-1730.0,-1730.0,-0.027547332048852735,0,0,1.5446732787264978,0.6155420047309829,-0.5000000000000004,0.8660254037844384
44,1.0,JPN,Koo Takahashi,86230,34980,15.0,Asia,JAPAN,2024-11-26,MS,2024,11,2024-11,34980.0,45.0,34980.0,44.0,31830.0,48.0,31010.0,54.0,34980.0,0.0,34980.0,34293.333333333336,1267.6224464195407,34980.0,32561.666666666668,2107.7339548060477,34980.0,0.0,0.0,0.0,0,0,0.8847517035884936,0.3525676560968345,-0.5000000000000004,0.8660254037844384
